arc_type,rel_pin,rel_pin_dir,constr_pin_dir,probe_pattern,num_rules,num_templates,num_cell_patterns,pairs_json
hold,CP,rise,rise,len_1,34,30,15,"[{""cell_pattern"":[""DCCKDIV4*""],""template"":""hold/template__DIV4__rise__rise__1.sp""},{""cell_pattern"":[""*EDFCNSPQ*D*""],""template"":""hold/template__EDF__D__rise__rise__glitch__minq__1.sp""},{""cell_pattern"":[""*EDF*D*""],""template"":""hold/template__EDF__D__rise__rise__glitch__1.sp""},{""cell_pattern"":[""*EDF*D*""],""template"":""hold/template__EDF__notD__rise__rise__glitch__1.sp""},{""cell_pattern"":[""MB*EDF*ITL*""],""template"":""hold/template__EDF__rise__E__rise__glitch__maxq__1.sp""},{""cell_pattern"":[""MB*""],""template"":""hold/template__MB__common__rise__rise__2.sp""},{""cell_pattern"":[""MB8SRLSDFOR2*""],""template"":""hold/template__common__rise__DA__rise__1.sp""},{""cell_pattern"":[""MB8SRLSDFOR2*""],""template"":""hold/template__common__rise__DB__rise__1.sp""},{""cell_pattern"":[""MB2SRLSDFAO22*""],""template"":""hold/template__AO22__rise__DA1__rise__1.sp""},{""cell_pattern"":[""MB2SRLSDFAO22*""],""template"":""hold/template__AO22__rise__DA2__rise__1.sp""},{""cell_pattern"":[""MB2SRLSDFAO22*""],""template"":""hold/template__AO22__rise__DB1__rise__1.sp""},{""cell_pattern"":[""MB2SRLSDFAO22*""],""template"":""hold/template__AO22__rise__DB2__rise__1.sp""},{""cell_pattern"":[""MB2SRLSDFAO22*""],""template"":""hold/template__AO22__rise__DC1__rise__1.sp""},{""cell_pattern"":[""MB2SRLSDFAO22*""],""template"":""hold/template__AO22__rise__DC2__rise__1.sp""},{""cell_pattern"":[""MB2SRLSDFAO22*""],""template"":""hold/template__AO22__rise__DD1__rise__1.sp""},{""cell_pattern"":[""MB2SRLSDFAO22*""],""template"":""hold/template__AO22__rise__DD2__rise__1.sp""},{""cell_pattern"":[""MB2SRLSDFOA22*""],""template"":""hold/template__OA22__rise__DA1__rise__1.sp""},{""cell_pattern"":[""MB2SRLSDFOA22*""],""template"":""hold/template__OA22__rise__DA2__rise__1.sp""},{""cell_pattern"":[""MB2SRLSDFOA22*""],""template"":""hold/template__OA22__rise__DB1__rise__1.sp""},{""cell_pattern"":[""MB2SRLSDFOA22*""],""template"":""hold/template__OA22__rise__DB2__rise__1.sp""},{""cell_pattern"":[""MB2SRLSDFOA22*""],""template"":""hold/template__OA22__rise__DC1__rise__1.sp""},{""cell_pattern"":[""MB2SRLSDFOA22*""],""template"":""hold/template__OA22__rise__DC2__rise__1.sp""},{""cell_pattern"":[""MB2SRLSDFOA22*""],""template"":""hold/template__OA22__rise__DD1__rise__1.sp""},{""cell_pattern"":[""MB2SRLSDFOA22*""],""template"":""hold/template__OA22__rise__DD2__rise__1.sp""},{""cell_pattern"":[""*DFDET*""],""template"":""hold/template__SLH__rise__SE__rise__pushout__3.sp""},{""cell_pattern"":[],""template"":""hold/template__common__rise__rise__1.sp""},{""cell_pattern"":[],""template"":""hold/template__common__rise__rise__1.sp""},{""cell_pattern"":[],""template"":""hold/template__common__rise__rise__1.sp""},{""cell_pattern"":[],""template"":""hold/template__common__rise__rise__1.sp""},{""cell_pattern"":[""MB*SRLSDFQN*""],""template"":""hold/template__MB__rise__E__rise__glitch__minq__1.sp""},{""cell_pattern"":[""MB*SRLSDFKRP*""],""template"":""hold/template__MB__rise__E__rise__glitch__minq__1.sp""},{""cell_pattern"":[""MB*SRLSDF*ICG*""],""template"":""hold/template__MB__notD__rise__E__rise__glitch__minq__1.sp""},{""cell_pattern"":[""MB*SRLSDF*""],""template"":""hold/template__MB__rise__E__rise__glitch__maxq__1.sp""},{""cell_pattern"":[""CKLNQAO22*""],""template"":""hold/template__latch__rise__rise__glitch__maxq__1.sp""}]"
hold,CP,rise,fall,len_1,33,29,14,"[{""cell_pattern"":[""DCCKDIV4*""],""template"":""hold/template__DIV4__rise__fall__1.sp""},{""cell_pattern"":[""*EDF*D*""],""template"":""hold/template__EDF__D__rise__fall__pushout__1.sp""},{""cell_pattern"":[""*EDF*D*""],""template"":""hold/template__EDF__notD__rise__fall__pushout__1.sp""},{""cell_pattern"":[""MB*SRLSEDF*ITL*""],""template"":""hold/template__MB__EDF__rise__E__fall__pushout__maxq__1.sp""},{""cell_pattern"":[""MB*EDF*ITL*""],""template"":""hold/template__MB__EDF__rise__E__fall__pushout__minq__1.sp""},{""cell_pattern"":[""MB*""],""template"":""hold/template__MB__common__rise__fall__2.sp""},{""cell_pattern"":[""MB8SRLSDFOR2*""],""template"":""hold/template__common__rise__DA__fall__1.sp""},{""cell_pattern"":[""MB8SRLSDFOR2*""],""template"":""hold/template__common__rise__DB__fall__1.sp""},{""cell_pattern"":[""MB2SRLSDFAO22*""],""template"":""hold/template__AO22__rise__DA1__fall__1.sp""},{""cell_pattern"":[""MB2SRLSDFAO22*""],""template"":""hold/template__AO22__rise__DA2__fall__1.sp""},{""cell_pattern"":[""MB2SRLSDFAO22*""],""template"":""hold/template__AO22__rise__DB1__fall__1.sp""},{""cell_pattern"":[""MB2SRLSDFAO22*""],""template"":""hold/template__AO22__rise__DB2__fall__1.sp""},{""cell_pattern"":[""MB2SRLSDFAO22*""],""template"":""hold/template__AO22__rise__DC1__fall__1.sp""},{""cell_pattern"":[""MB2SRLSDFAO22*""],""template"":""hold/template__AO22__rise__DC2__fall__1.sp""},{""cell_pattern"":[""MB2SRLSDFAO22*""],""template"":""hold/template__AO22__rise__DD1__fall__1.sp""},{""cell_pattern"":[""MB2SRLSDFAO22*""],""template"":""hold/template__AO22__rise__DD2__fall__1.sp""},{""cell_pattern"":[""MB2SRLSDFOA22*""],""template"":""hold/template__OA22__rise__DA1__fall__1.sp""},{""cell_pattern"":[""MB2SRLSDFOA22*""],""template"":""hold/template__OA22__rise__DA2__fall__1.sp""},{""cell_pattern"":[""MB2SRLSDFOA22*""],""template"":""hold/template__OA22__rise__DB1__fall__1.sp""},{""cell_pattern"":[""MB2SRLSDFOA22*""],""template"":""hold/template__OA22__rise__DB2__fall__1.sp""},{""cell_pattern"":[""MB2SRLSDFOA22*""],""template"":""hold/template__OA22__rise__DC1__fall__1.sp""},{""cell_pattern"":[""MB2SRLSDFOA22*""],""template"":""hold/template__OA22__rise__DC2__fall__1.sp""},{""cell_pattern"":[""MB2SRLSDFOA22*""],""template"":""hold/template__OA22__rise__DD1__fall__1.sp""},{""cell_pattern"":[""MB2SRLSDFOA22*""],""template"":""hold/template__OA22__rise__DD2__fall__1.sp""},{""cell_pattern"":[""*DFDET*""],""template"":""hold/template__SLH__rise__SE__fall__pushout__3.sp""},{""cell_pattern"":[],""template"":""hold/template__common__rise__fall__1.sp""},{""cell_pattern"":[],""template"":""hold/template__common__rise__fall__1.sp""},{""cell_pattern"":[],""template"":""hold/template__common__rise__fall__1.sp""},{""cell_pattern"":[],""template"":""hold/template__common__rise__fall__1.sp""},{""cell_pattern"":[""MB*SRLSDFQN*""],""template"":""hold/template__MB__rise__E__fall__pushout__maxq__1.sp""},{""cell_pattern"":[""MB*SRLSDFKRP*""],""template"":""hold/template__MB__rise__E__fall__pushout__maxq__1.sp""},{""cell_pattern"":[""MB*SRLSDF*""],""template"":""hold/template__MB__rise__E__fall__pushout__minq__1.sp""},{""cell_pattern"":[""CKLNQAO22*""],""template"":""hold/template__latch__rise__fall__pushout__1.sp""}]"
unknown,[],null,null,none,16,16,9,"[{""cell_pattern"":[],""template"":""hold/template__gclk__rise__clkdivrst__rise__pushout__2.sp""},{""cell_pattern"":[],""template"":""hold/template__gclk__rise__clkdivrst__fall__glitch__maxq__2.sp""},{""cell_pattern"":[""*CKLH*""],""template"":""hold/template__latch__fall__fall__glitch__minq__1.sp""},{""cell_pattern"":[""*SYNC2*""],""template"":""min_pulse_width/template__sync2__CP__rise__fall__1.sp""},{""cell_pattern"":[""*SYNC3*""],""template"":""min_pulse_width/template__sync3__CP__rise__fall__1.sp""},{""cell_pattern"":[""*SYNC4*""],""template"":""min_pulse_width/template__sync4__CP__rise__fall__1.sp""},{""cell_pattern"":[""*SYNC5*""],""template"":""min_pulse_width/template__sync5__CP__rise__fall__1.sp""},{""cell_pattern"":[""*SYNC6*""],""template"":""min_pulse_width/template__sync6__CP__rise__fall__1.sp""},{""cell_pattern"":[""*SYNC2*""],""template"":""min_pulse_width/template__CP__sync2__D__fall__rise__1.sp""},{""cell_pattern"":[""*SYNC3*""],""template"":""min_pulse_width/template__CP__sync3__D__fall__rise__1.sp""},{""cell_pattern"":[""*SYNC4*""],""template"":""min_pulse_width/template__CP__sync4__D__fall__rise__1.sp""},{""cell_pattern"":[""*SYNC5*""],""template"":""min_pulse_width/template__CP__sync5__D__fall__rise__1.sp""},{""cell_pattern"":[""*SYNC6*""],""template"":""min_pulse_width/template__CP__sync6__D__fall__rise__1.sp""},{""cell_pattern"":[""*DRDF*""],""template"":""min_pulse_width/template__DRDF__CP__fall__rise__2.sp""},{""cell_pattern"":[""*DRDF*""],""template"":""min_pulse_width/template__DRDF__CP__rise__fall__2.sp""},{""cell_pattern"":[""*DET*""],""template"":""min_pulse_width/template__DET__CP__fall__rise__1.sp""}]"
min_pulse_width,CP,null,rise,none,10,10,7,"[{""cell_pattern"":[""PTCKG*""],""template"":""min_pulse_width/template__PTCKG__CP__rise__fall__1.sp""},{""cell_pattern"":[""CKGOR*"",""CKGOA*"",""CKGNR*""],""template"":""min_pulse_width/template__CKGOR2__rise__fall__1.sp""},{""cell_pattern"":[""*OR2*"",""*OA2*""],""template"":""min_pulse_width/template__OR2__rise__fall__1.sp""},{""cell_pattern"":[""*AO2*""],""template"":""min_pulse_width/template__AO2__rise__fall__1.sp""},{""cell_pattern"":[],""template"":""min_pulse_width/template__DA__rise__rise__1.sp""},{""cell_pattern"":[""*DETQNLTSO*""],""template"":""min_pulse_width/template__DET__LP__D__CP__rise__fall__1.sp""},{""cell_pattern"":[""*DETQNRESO*""],""template"":""min_pulse_width/template__DET__RE__D__CP__rise__fall__1.sp""},{""cell_pattern"":[""*DETQNLTSO*""],""template"":""min_pulse_width/template__DET__LP__notD__CP__rise__fall__1.sp""},{""cell_pattern"":[""*DETQNRESO*""],""template"":""min_pulse_width/template__DET__RE__notD__CP__rise__fall__1.sp""},{""cell_pattern"":[],""template"":""min_pulse_width/template__CP__rise__fall__1.sp""}]"
min_pulse_width,CP,null,fall,none,9,9,7,"[{""cell_pattern"":[""CKGOR*"",""CKGOA*"",""CKGNR*""],""template"":""min_pulse_width/template__CKGOR2__fall__rise__1.sp""},{""cell_pattern"":[""PTCKG*""],""template"":""min_pulse_width/template__PTCKG__CP__fall__rise__1.sp""},{""cell_pattern"":[""*OR2*"",""*OA2*""],""template"":""min_pulse_width/template__OR2__fall__rise__1.sp""},{""cell_pattern"":[""*AO2*""],""template"":""min_pulse_width/template__AO2__fall__rise__1.sp""},{""cell_pattern"":[],""template"":""min_pulse_width/template__DA__fall__rise__1.sp""},{""cell_pattern"":[""*DETQNLTSO*""],""template"":""min_pulse_width/template__DET__LP__D__CP__fall__rise__1.sp""},{""cell_pattern"":[""*DETQNRESO*""],""template"":""min_pulse_width/template__DET__RE__D__CP__fall__rise__1.sp""},{""cell_pattern"":[""*DETQNLTSO*""],""template"":""min_pulse_width/template__DET__LP__notD__CP__fall__rise__1.sp""},{""cell_pattern"":[""*DETQNRESO*""],""template"":""min_pulse_width/template__DET__RE__notD__CP__fall__rise__1.sp""}]"
nochange_high_high,CP,rise,rise,none,8,8,8,"[{""cell_pattern"":[""CKGND2CCHD2BWP143M169H3P45CPD*"",""CKGND2CCHEQAD1BWP143M169H3P45CPD*""],""template"":""nochange/template__ckgn__setup__rise__en__rise__pushout__0.sp""},{""cell_pattern"":[""CKGAN2CCHD1BWP143M169H3P45CPD*"",""CKGAN2CCHEQAD2BWP143M169H3P45CPD*""],""template"":""nochange/template__ckg__setup__rise__en__rise__pushout__0.sp""},{""cell_pattern"":[""*CKG*NR*"",""*CKG*ND*""],""template"":""nochange/template__ckgn__setup__rise__en__rise__pushout__1.sp""},{""cell_pattern"":[""*CKG*AN*"",""*CKG*OR*""],""template"":""nochange/template__ckg__setup__rise__en__rise__pushout__1.sp""},{""cell_pattern"":[""*CKGIAN*""],""template"":""nochange/template__ckgian__setup__rise__enb__rise__20__percent__glitch__minq__1.sp""},{""cell_pattern"":[""RLH*""],""template"":""nochange/template__retn__latch__setup__D__CDN__SDN__sleep__rise__rise__glitch__maxq__1.sp""},{""cell_pattern"":[""RS*NBNSP*""],""template"":""nochange/template__retn__flop__setup__notD__CDN__SDN__nsleep__rise__rise__pushout__maxq__1.sp""},{""cell_pattern"":[""RS*NBSP*""],""template"":""nochange/template__retn__flop__setup__notD__CDN__SDN__sleep__rise__rise__glitch__minq__1.sp""}]"
nochange_high_high,CP,fall,fall,none,8,8,8,"[{""cell_pattern"":[""CKGND2CCHD2BWP143M169H3P45CPD*"",""CKGND2CCHEQAD1BWP143M169H3P45CPD*""],""template"":""nochange/template__ckgn__hold__fall__en__fall__pushout__negative__0.sp""},{""cell_pattern"":[""CKGAN2CCHD1BWP143M169H3P45CPD*"",""CKGAN2CCHEQAD2BWP143M169H3P45CPD*""],""template"":""nochange/template__ckg__hold__fall__en__fall__pushout__negative__0.sp""},{""cell_pattern"":[""*CKG*NR*"",""*CKG*ND*""],""template"":""nochange/template__ckgn__hold__fall__en__fall__pushout__negative__1.sp""},{""cell_pattern"":[""*CKG*AN*"",""*CKG*OR*""],""template"":""nochange/template__ckg__hold__fall__en__fall__pushout__negative__1.sp""},{""cell_pattern"":[""*CKGIAN*""],""template"":""nochange/template__ckgian__hold__fall__enb__fall__20__percent__glitch__minq__1.sp""},{""cell_pattern"":[""RLH*""],""template"":""nochange/template__retn__latch__hold__notD__CDN__SDN__fall__sleep__fall__glitch__minq__1.sp""},{""cell_pattern"":[""RS*NBNSP*""],""template"":""nochange/template__retn__flop__hold__notD__CDN__SDN__fall__nsleep__fall__glitch__minq__1.sp""},{""cell_pattern"":[""RS*NBSP*""],""template"":""nochange/template__retn__flop__hold__notD__CDN__SDN__fall__sleep__fall__glitch__minq__1.sp""}]"
hold,E,fall,rise,none,8,7,5,"[{""cell_pattern"":[],""template"":""hold/template__basemeg__E__fall__A__rise__glitch__maxq__1.sp""},{""cell_pattern"":[],""template"":""hold/template__basemeg__E__fall__B__rise__glitch__maxq__1.sp""},{""cell_pattern"":[""MB*LH*QN*""],""template"":""hold/template__latch__fall__rise__glitch__minq__1.sp""},{""cell_pattern"":[""MB*SRLSLH*""],""template"":""hold/template__SLH__fall__SE__rise__glitch__maxq__1.sp""},{""cell_pattern"":[""SLH*"",""MB*SLH*""],""template"":""hold/template__SLH__fall__SE__rise__glitch__minq__1.sp""},{""cell_pattern"":[],""template"":""hold/template__common__fall__rise__1.sp""},{""cell_pattern"":[""MB*LHQN*"",""MB*LNQN*""],""template"":""hold/template__latch__fall__rise__glitch__minq__1.sp""},{""cell_pattern"":[],""template"":""hold/template__latch__fall__rise__glitch__maxq__1.sp""}]"
nochange_low_high,CP,rise,fall,none,6,6,6,"[{""cell_pattern"":[""CKGND2CCHD2BWP143M169H3P45CPD*"",""CKGND2CCHEQAD1BWP143M169H3P45CPD*""],""template"":""nochange/template__ckg__setup__rise__en__fall__20__percent__glitch__minq__0.sp""},{""cell_pattern"":[""DC*CKG*"",""CKG*"",""PTCKG*ISO*""],""template"":""nochange/template__ckg__setup__rise__en__fall__20__percent__glitch__minq__1.sp""},{""cell_pattern"":[""*CKGIAN*""],""template"":""nochange/template__ckgian__setup__rise__enb__fall__pushout__1.sp""},{""cell_pattern"":[""RLH*""],""template"":""nochange/template__retn__latch__setup__notD__CDN__SDN__sleep__fall__rise__pushout__maxq__1.sp""},{""cell_pattern"":[""RS*NBNSP*""],""template"":""nochange/template__retn__flop__setup__notD__CDN__SDN__nsleep__fall__rise__glitch__minq__1.sp""},{""cell_pattern"":[""RS*NBSP*""],""template"":""nochange/template__retn__flop__setup__notD__CDN__SDN__sleep__fall__rise__pushout__maxq__1.sp""}]"
nochange_low_high,CP,fall,rise,none,6,6,6,"[{""cell_pattern"":[""CKGND2CCHD2BWP143M169H3P45CPD*"",""CKGND2CCHEQAD1BWP143M169H3P45CPD*""],""template"":""nochange/template__ckg__hold__fall__en__rise__20__percent__glitch__minq__0.sp""},{""cell_pattern"":[""DC*CKG*"",""CKG*"",""PTCKG*ISO*""],""template"":""nochange/template__ckg__hold__fall__en__rise__20__percent__glitch__minq__1.sp""},{""cell_pattern"":[""*CKGIAN*""],""template"":""nochange/template__ckgian__hold__fall__enb__rise__pushout__negative__1.sp""},{""cell_pattern"":[""RLH*""],""template"":""nochange/template__retn__latch__hold__notD__CDN__SDN__fall__sleep__rise__glitch__maxq__1.sp""},{""cell_pattern"":[""RS*NBNSP*""],""template"":""nochange/template__retn__flop__hold__notD__CDN__SDN__fall__nsleep__rise__glitch__minq__1.sp""},{""cell_pattern"":[""RS*NBSP*""],""template"":""nochange/template__retn__flop__hold__notD__CDN__SDN__fall__sleep__rise__glitch__minq__1.sp""}]"
hold,E,fall,fall,none,7,6,4,"[{""cell_pattern"":[],""template"":""hold/template__basemeg__E__fall__A__fall__glitch__minq__1.sp""},{""cell_pattern"":[],""template"":""hold/template__basemeg__E__fall__B__fall__glitch__minq__1.sp""},{""cell_pattern"":[""MB*LH*QN*""],""template"":""hold/template__latch__fall__fall__glitch__maxq__1.sp""},{""cell_pattern"":[""SLH*"",""MB*SLH*""],""template"":""hold/template__SLH__fall__SE__fall__glitch__maxq__1.sp""},{""cell_pattern"":[],""template"":""hold/template__common__fall__fall__1.sp""},{""cell_pattern"":[""MB*LHQN*"",""MB*LNQN*""],""template"":""hold/template__latch__fall__fall__glitch__maxq__1.sp""},{""cell_pattern"":[],""template"":""hold/template__latch__fall__fall__glitch__minq__1.sp""}]"
hold,CP,rise,fall,contains_Q1,5,5,5,"[{""cell_pattern"":[""*SYNC2*Q*""],""template"":""hold/template__sync2__q1__rise__fall__1.sp""},{""cell_pattern"":[""*SYNC3*Q*""],""template"":""hold/template__sync3__q1__rise__fall__1.sp""},{""cell_pattern"":[""*SYNC4*Q*""],""template"":""hold/template__sync4__q1__rise__fall__1.sp""},{""cell_pattern"":[""*SYNC5*Q*""],""template"":""hold/template__sync5__q1__rise__fall__1.sp""},{""cell_pattern"":[""*SYNC6*Q*""],""template"":""hold/template__sync6__q1__rise__fall__1.sp""}]"
hold,CP,rise,rise,contains_Q1,5,5,5,"[{""cell_pattern"":[""*SYNC2*Q*""],""template"":""hold/template__sync2__q1__rise__rise__1.sp""},{""cell_pattern"":[""*SYNC3*Q*""],""template"":""hold/template__sync3__q1__rise__rise__1.sp""},{""cell_pattern"":[""*SYNC4*Q*""],""template"":""hold/template__sync4__q1__rise__rise__1.sp""},{""cell_pattern"":[""*SYNC5*Q*""],""template"":""hold/template__sync5__q1__rise__rise__1.sp""},{""cell_pattern"":[""*SYNC6*Q*""],""template"":""hold/template__sync6__q1__rise__rise__1.sp""}]"
nochange_high_high,CLK,rise,rise,none,5,5,3,"[{""cell_pattern"":[""CK*RCB*D*"",""DCCK*RCB*D*""],""template"":""nochange/template__ckg__setup__rise__en__rise__pushout__1.sp""},{""cell_pattern"":[""CK*ND3*""],""template"":""nochange/template__ck__setup__EN2__EN1__rise__rise__pushout__1.sp""},{""cell_pattern"":[""CK*OAI21*""],""template"":""nochange/template__ck__setup__notEN2__EN1__rise__rise__pushout__1.sp""},{""cell_pattern"":[""CK*ND3*""],""template"":""nochange/template__ck__setup__EN1__EN2__rise__rise__pushout__1.sp""},{""cell_pattern"":[""CK*OAI21*""],""template"":""nochange/template__ck__setup__notEN1__EN2__rise__rise__pushout__1.sp""}]"
nochange_high_high,CLK,fall,fall,none,5,5,3,"[{""cell_pattern"":[""CK*RCB*D*"",""DCCK*RCB*D*""],""template"":""nochange/template__ckg__hold__fall__en__fall__pushout__negative__1.sp""},{""cell_pattern"":[""CK*ND3*""],""template"":""nochange/template__ck__hold__EN2__fall__EN1__fall__pushout__negative__1.sp""},{""cell_pattern"":[""CK*OAI21*""],""template"":""nochange/template__ck__hold__notEN2__fall__EN1__fall__pushout__negative__1.sp""},{""cell_pattern"":[""CK*ND3*""],""template"":""nochange/template__ck__hold__EN1__fall__EN2__fall__pushout__negative__1.sp""},{""cell_pattern"":[""CK*OAI21*""],""template"":""nochange/template__ck__hold__notEN1__fall__EN2__fall__pushout__negative__1.sp""}]"
