arc_type,rel_pin,rel_pin_dir,constr_pin_dir,probe_pattern,num_rules,num_templates,num_cell_patterns,pairs_json
nochange_low_high,CLK,rise,fall,none,5,5,3,"[{""cell_pattern"":[""CK*RCB*D*"",""DCCK*RCB*D*""],""template"":""nochange/template__ckg__setup__rise__en__fall__20__percent__glitch__minq__1.sp""},{""cell_pattern"":[""CK*ND3*""],""template"":""nochange/template__ck__setup__EN2__EN1__fall__rise__20__percent__glitch__minq__1.sp""},{""cell_pattern"":[""CK*OAI21*""],""template"":""nochange/template__ck__setup__notEN2__EN1__fall__rise__20__percent__glitch__minq__1.sp""},{""cell_pattern"":[""CK*ND3*""],""template"":""nochange/template__ck__setup__EN1__EN2__fall__rise__20__percent__glitch__minq__1.sp""},{""cell_pattern"":[""CK*OAI21*""],""template"":""nochange/template__ck__setup__notEN1__EN2__fall__rise__20__percent__glitch__minq__1.sp""}]"
nochange_low_high,CLK,fall,rise,none,5,5,3,"[{""cell_pattern"":[""CK*RCB*D*"",""DCCK*RCB*D*""],""template"":""nochange/template__ckg__hold__fall__en__rise__20__percent__glitch__minq__1.sp""},{""cell_pattern"":[""CK*ND3*""],""template"":""nochange/template__ck__hold__EN2__fall__EN1__rise__20__percent__glitch__minq__1.sp""},{""cell_pattern"":[""CK*OAI21*""],""template"":""nochange/template__ck__hold__notEN2__fall__EN1__rise__20__percent__glitch__minq__1.sp""},{""cell_pattern"":[""CK*ND3*""],""template"":""nochange/template__ck__hold__EN1__fall__EN2__rise__20__percent__glitch__minq__1.sp""},{""cell_pattern"":[""CK*OAI21*""],""template"":""nochange/template__ck__hold__notEN1__fall__EN2__rise__20__percent__glitch__minq__1.sp""}]"
nochange_low_low,CLK,fall,fall,none,5,5,3,"[{""cell_pattern"":[""CK*RCB*D*"",""DCCK*RCB*D*""],""template"":""nochange/template__ckg__setup__fall__en__fall__pushout__1.sp""},{""cell_pattern"":[""CK*NR3*""],""template"":""nochange/template__ck__setup__notEN2__EN1__fall__fall__pushout__1.sp""},{""cell_pattern"":[""CK*AOI21*""],""template"":""nochange/template__ck__setup__EN2__EN1__fall__fall__pushout__1.sp""},{""cell_pattern"":[""CK*NR3*""],""template"":""nochange/template__ck__setup__notEN1__EN2__fall__fall__pushout__1.sp""},{""cell_pattern"":[""CK*AOI21*""],""template"":""nochange/template__ck__setup__EN1__EN2__fall__fall__pushout__1.sp""}]"
nochange_low_low,CLK,rise,rise,none,5,5,3,"[{""cell_pattern"":[""CK*RCB*D*"",""DCCK*RCB*D*""],""template"":""nochange/template__ckg__hold__rise__en__rise__pushout__negative__1.sp""},{""cell_pattern"":[""CK*NR3*""],""template"":""nochange/template__ck__hold__notEN2__rise__EN1__rise__pushout__negative__1.sp""},{""cell_pattern"":[""CK*AOI21*""],""template"":""nochange/template__ck__hold__EN2__rise__EN1__rise__pushout__negative__1.sp""},{""cell_pattern"":[""CK*NR3*""],""template"":""nochange/template__ck__hold__notEN1__rise__EN2__rise__pushout__negative__1.sp""},{""cell_pattern"":[""CK*AOI21*""],""template"":""nochange/template__ck__hold__EN1__rise__EN2__rise__pushout__negative__1.sp""}]"
nochange_high_low,CLK,fall,rise,none,5,5,3,"[{""cell_pattern"":[""CK*RCB*D*"",""DCCK*RCB*D*""],""template"":""nochange/template__ckg__setup__fall__en__rise__20__percent__glitch__maxq__1.sp""},{""cell_pattern"":[""CK*NR3*""],""template"":""nochange/template__ck__setup__notEN2__EN1__rise__fall__20__percent__glitch__maxq__1.sp""},{""cell_pattern"":[""CK*AOI21*""],""template"":""nochange/template__ck__setup__EN2__EN1__rise__fall__20__percent__glitch__maxq__1.sp""},{""cell_pattern"":[""CK*NR3*""],""template"":""nochange/template__ck__setup__notEN1__EN2__rise__fall__20__percent__glitch__maxq__1.sp""},{""cell_pattern"":[""CK*AOI21*""],""template"":""nochange/template__ck__setup__EN1__EN2__rise__fall__20__percent__glitch__maxq__1.sp""}]"
nochange_high_low,CLK,rise,fall,none,5,5,3,"[{""cell_pattern"":[""CK*RCB*D*"",""DCCK*RCB*D*""],""template"":""nochange/template__ckg__hold__rise__en__fall__20__percent__glitch__maxq__1.sp""},{""cell_pattern"":[""CK*NR3*""],""template"":""nochange/template__ck__hold__notEN2__rise__EN1__fall__20__percent__glitch__maxq__1.sp""},{""cell_pattern"":[""CK*AOI21*""],""template"":""nochange/template__ck__hold__EN2__rise__EN1__fall__20__percent__glitch__maxq__1.sp""},{""cell_pattern"":[""CK*NR3*""],""template"":""nochange/template__ck__hold__notEN1__rise__EN2__fall__20__percent__glitch__maxq__1.sp""},{""cell_pattern"":[""CK*AOI21*""],""template"":""nochange/template__ck__hold__EN1__rise__EN2__fall__20__percent__glitch__maxq__1.sp""}]"
removal,CP,rise,rise,none,5,5,3,"[{""cell_pattern"":[""RSVNB*""],""template"":""hold/template__latch__rise__rise__glitch__maxq__1.sp""},{""cell_pattern"":[""RSVNB*""],""template"":""hold/template__latch__rise__rise__glitch__minq__1.sp""},{""cell_pattern"":[""RLH*""],""template"":""hold/template__retn__latch__removal__notD__CDN__SDN__rise__sleep__rise__pushout__maxq__1.sp""},{""cell_pattern"":[""*MB*""],""template"":""hold/template__MB__latch__rise__rise__glitch__minq__1.sp""},{""cell_pattern"":[""*MB*""],""template"":""hold/template__MB__latch__rise__rise__glitch__maxq__1.sp""}]"
non_seq_hold,RETN,fall,rise,contains_Q_bl_b|len_4,5,5,5,"[{""cell_pattern"":[""*RSSDFSYNC2*"",""*RSCDFSYNC2*""],""template"":""non_seq_hold/template__retn__nonseqhold__RETN__fall__CD__rise__glitch__minq__minbl_b__4.sp""},{""cell_pattern"":[""*RSSDFSYNC3*"",""*RSCDFSYNC3*""],""template"":""non_seq_hold/template__syn3__retn__nonseqhold__RETN__fall__CD__rise__glitch__minq__minbl_b__4.sp""},{""cell_pattern"":[""*RSSDFSYNC4*"",""*RSCDFSYNC4*""],""template"":""non_seq_hold/template__syn4__retn__nonseqhold__RETN__fall__CD__rise__glitch__minq__minbl_b__4.sp""},{""cell_pattern"":[""*RSSDFSYNC5*"",""*RSCDFSYNC5*""],""template"":""non_seq_hold/template__syn5__retn__nonseqhold__RETN__fall__CD__rise__glitch__minq__minbl_b__4.sp""},{""cell_pattern"":[""*RSSDFSYNC6*"",""*RSCDFSYNC6*""],""template"":""non_seq_hold/template__syn6__retn__nonseqhold__RETN__fall__CD__rise__glitch__minq__minbl_b__4.sp""}]"
nochange_low_low,RETN,rise,rise,contains_Q_bl_b|len_4,5,5,5,"[{""cell_pattern"":[""*RSSDFSYNC2*"",""*RSCDFSYNC2*""],""template"":""nochange_low_low/template__retn__nonseqhold__RETN__rise__CD__rise__pushout__4.sp""},{""cell_pattern"":[""*RSSDFSYNC3*"",""*RSCDFSYNC3*""],""template"":""nochange_low_low/template__syn3_retn__nonseqhold__RETN__rise__CD__rise__pushout__4.sp""},{""cell_pattern"":[""*RSSDFSYNC4*"",""*RSCDFSYNC4*""],""template"":""nochange_low_low/template__syn4_retn__nonseqhold__RETN__rise__CD__rise__pushout__4.sp""},{""cell_pattern"":[""*RSSDFSYNC5*"",""*RSCDFSYNC5*""],""template"":""nochange_low_low/template__syn5_retn__nonseqhold__RETN__rise__CD__rise__pushout__4.sp""},{""cell_pattern"":[""*RSSDFSYNC6*"",""*RSCDFSYNC6*""],""template"":""nochange_low_low/template__syn6_retn__nonseqhold__RETN__rise__CD__rise__pushout__4.sp""}]"
unknown,nx,null,null,none,4,4,1,"[{""cell_pattern"":[],""template"":""nochange/template__ckg__setup__nx__rise__en__rise__pushout__minq__1.sp""},{""cell_pattern"":[],""template"":""nochange/template__ckg__hold__nx__fall__en__fall__pushout__maxq__1.sp""},{""cell_pattern"":[],""template"":""nochange/template__ckg__setup__nx__rise__en__fall__20__percent__glitch__minq__1.sp""},{""cell_pattern"":[],""template"":""nochange/template__ckg__hold__nx__fall__clken__rise__glitch__minq.sp""}]"
unknown,CLKIN,null,null,none,4,4,1,"[{""cell_pattern"":[],""template"":""nochange/template__ckg__setup__rise__en__rise__pushout__minq__1.sp""},{""cell_pattern"":[],""template"":""nochange/template__ckg__hold__fall__en__fall__pushout__maxq__1.sp""},{""cell_pattern"":[],""template"":""nochange/template__ckg__setup__rise__en__fall__20__percent__glitch__minq__1.sp""},{""cell_pattern"":[],""template"":""nochange/template__ckg__hold__fall__en__rise__20__percent__glitch__minq__1.sp""}]"
hold,CP,rise,rise,none,4,4,2,"[{""cell_pattern"":[""EDFKCNQ*""],""template"":""hold/template__SLH__rise__SE__rise__pushout__1.sp""},{""cell_pattern"":[],""template"":""hold/template__latch__rise__rise__glitch__maxq__1.sp""},{""cell_pattern"":[],""template"":""hold/template__RCB__rise__rise__pushout__maxq__negative__1.sp""},{""cell_pattern"":[],""template"":""hold/template__latch__rise__rise__pushout__1.sp""}]"
hold,CP,rise,rise,len_2,8,4,4,"[{""cell_pattern"":[],""template"":""hold/template__common__rise__rise__2.sp""},{""cell_pattern"":[],""template"":""hold/template__common__rise__rise__2.sp""},{""cell_pattern"":[""SDFKSPQSO*"",""SDFKCNQSO*"",""SEDFKCNQSO*""],""template"":""hold/template__SLH__rise__SE__rise__pushout__2.sp""},{""cell_pattern"":[""*DFDETQNRESO*""],""template"":""hold/template__DETRESO__rise__rise__2.sp""},{""cell_pattern"":[],""template"":""hold/template__common__rise__rise__2.sp""},{""cell_pattern"":[],""template"":""hold/template__common__rise__rise__2.sp""},{""cell_pattern"":[],""template"":""hold/template__common__rise__rise__2.sp""},{""cell_pattern"":[""SEDFKCNQSO*""],""template"":""hold/template__EDF__rise__E__rise__glitch__maxq__2.sp""}]"
hold,CP,rise,fall,len_2,8,4,4,"[{""cell_pattern"":[],""template"":""hold/template__common__rise__fall__2.sp""},{""cell_pattern"":[],""template"":""hold/template__common__rise__fall__2.sp""},{""cell_pattern"":[""SDFKSPQSO*"",""SDFKCNQSO*"",""SEDFKCNQSO*""],""template"":""hold/template__SLH__rise__SE__fall__pushout__2.sp""},{""cell_pattern"":[""*DFDETQNRESO*""],""template"":""hold/template__DETRESO__rise__fall__2.sp""},{""cell_pattern"":[],""template"":""hold/template__common__rise__fall__2.sp""},{""cell_pattern"":[],""template"":""hold/template__common__rise__fall__2.sp""},{""cell_pattern"":[],""template"":""hold/template__common__rise__fall__2.sp""},{""cell_pattern"":[""SEDFKCNQSO*""],""template"":""hold/template__EDF__rise__E__fall__pushout__minq__2.sp""}]"
hold,CP,fall,fall,none,4,4,4,"[{""cell_pattern"":[""*DET*""],""template"":""hold/template__common__fall__fall__3.sp""},{""cell_pattern"":[""*DFDETQNLTSO*""],""template"":""hold/template__DETLTSO__D__fall__CP__fall__pushout__1.sp""},{""cell_pattern"":[""RLH*""],""template"":""hold/template__latch__fall__fall__glitch__minq__1.sp""},{""cell_pattern"":[],""template"":""hold/template__RCB__fall__fall__pushout__minq__negative__1.sp""}]"
hold,CLKIN,rise,rise,len_1,6,3,4,"[{""cell_pattern"":[""DCCK*DIV*""],""template"":""hold/template__gclk__rise__clkdivrst__rise__pushout__1.sp""},{""cell_pattern"":[""DCCKSDIV2*""],""template"":""hold/template__gclk__rise__clkdivrst__rise__pushout__1.sp""},{""cell_pattern"":[""DCCKDIV2*""],""template"":""hold/template__gclk__rise__clken__rise__glitch__maxq__1.sp""},{""cell_pattern"":[""DCCKSDIV2*""],""template"":""hold/template__gclk__rise__clken__rise__glitch__maxq__1.sp""},{""cell_pattern"":[""DCCKSDIV2O4*""],""template"":""hold/template__gclk__rise__clken__rise__glitch__maxq__1.sp""},{""cell_pattern"":[""DCCKSDIV2O4*""],""template"":""hold/template__gclk__rise__divs__rise__glitch__maxq__1.sp""}]"
hold,CLKIN,rise,fall,len_1,6,3,4,"[{""cell_pattern"":[""DCCK*DIV*""],""template"":""hold/template__gclk__rise__clkdivrst__fall__glitch__maxq__1.sp""},{""cell_pattern"":[""DCCKSDIV2*""],""template"":""hold/template__gclk__rise__clkdivrst__fall__glitch__maxq__1.sp""},{""cell_pattern"":[""DCCKDIV2*""],""template"":""hold/template__gclk__rise__clken__fall__pushout__1.sp""},{""cell_pattern"":[""DCCKSDIV2O4*""],""template"":""hold/template__gclk__rise__clken__fall__pushout__1.sp""},{""cell_pattern"":[""DCCKSDIV2*""],""template"":""hold/template__gclk__rise__clken__fall__pushout__1.sp""},{""cell_pattern"":[""DCCKSDIV2O4*""],""template"":""hold/template__gclk__rise__divs__fall__pushout__1.sp""}]"
removal,CP,rise,rise,len_1,4,3,4,"[{""cell_pattern"":[""DCCKDIV*""],""template"":""hold/template__gclk__rise__clken__rise__glitch__maxq__1.sp""},{""cell_pattern"":[""*EDFCNSPQ*D*""],""template"":""hold/template__latch__rise__rise__glitch__maxq__1.sp""},{""cell_pattern"":[""RS*NBSP*""],""template"":""hold/template__retn__flop__removal__notD__CDN__SDN__rise__sleep__rise__pushout__maxq__1.sp""},{""cell_pattern"":[""DIV2DFCNQ*""],""template"":""hold/template__latch__rise__rise__glitch__maxq__1.sp""}]"
hold,CP,rise,fall,none,3,3,2,"[{""cell_pattern"":[""EDFKCNQ*""],""template"":""hold/template__SLH__rise__SE__fall__pushout__1.sp""},{""cell_pattern"":[],""template"":""hold/template__latch__rise__fall__pushout__1.sp""},{""cell_pattern"":[],""template"":""hold/template__latch__rise__fall__glitch__maxq__1.sp""}]"
nochange_low_high,I1,rise,fall,none,3,3,2,"[{""cell_pattern"":[""DC*CKG*MUX2*"",""CKGMUX2*"",""CKG3DMUX2*""],""template"":""nochange/template__ckgmux2__setup__rise__s__fall__20__percent__glitch__maxq__1.sp""},{""cell_pattern"":[""CKGMUX3*""],""template"":""nochange/template__ckgmux2__setup__rise__s__fall__pushout__1.sp""},{""cell_pattern"":[""CKGMUX3*""],""template"":""nochange/template__ckgmux3__setup__rise__s__fall__10__percent__glitch__minq__1.sp""}]"
nochange_low_high,I1,fall,rise,none,3,3,2,"[{""cell_pattern"":[""DC*CKG*MUX2*"",""CKGMUX2*"",""CKG3DMUX2*""],""template"":""nochange/template__ckgmux2__hold__fall__s__rise__20__percent__glitch__maxq__1.sp""},{""cell_pattern"":[""CKGMUX3*""],""template"":""nochange/template__ckgmux2__hold__fall__s__rise__pushout__1.sp""},{""cell_pattern"":[""CKGMUX3*""],""template"":""nochange/template__ckgmux3__hold__fall__s__rise__10__percent__glitch__minq__1.sp""}]"
non_seq_hold,SLEEP,fall,fall,len_1,3,3,2,"[{""cell_pattern"":[""RLH*"",""RSVNBSP*""],""template"":""non_seq_hold/template__latch__fall__fall__pushout__maxq__1.sp""},{""cell_pattern"":[""RLH*SCN*"",""RSVNBSP*SCN*""],""template"":""non_seq_hold/template__latch__CDN__fall__fall__pushout__minq__1.sp""},{""cell_pattern"":[""RLH*"",""RSVNBSP*""],""template"":""non_seq_hold/template__latch__fall__fall__pushout__minq__1.sp""}]"
non_seq_hold,SLEEP,rise,fall,len_1,3,3,3,"[{""cell_pattern"":[""RLH*"",""RSVNBSP*""],""template"":""non_seq_hold/template__latch__rise__fall__glitch__minq__1.sp""},{""cell_pattern"":[""RSVNBSP*SCN*""],""template"":""non_seq_hold/template__latch__CDN__rise__fall__glitch__maxq__1.sp""},{""cell_pattern"":[""RLH*"",""RSVNBSP*SN*""],""template"":""non_seq_hold/template__latch__rise__fall__glitch__maxq__1.sp""}]"
removal,CP,rise,fall,none,4,3,2,"[{""cell_pattern"":[""RS*NBNSP*""],""template"":""hold/template__retn__flop__removal__notD__CDN__SDN__rise__nsleep__fall__pushout__maxq__1.sp""},{""cell_pattern"":[""*MB*""],""template"":""hold/template__MB__latch__rise__fall__glitch__minq__1.sp""},{""cell_pattern"":[""*MB*""],""template"":""hold/template__MB__latch__rise__fall__glitch__maxq__1.sp""},{""cell_pattern"":[""*MB*""],""template"":""hold/template__MB__latch__rise__fall__glitch__maxq__1.sp""}]"
removal,CLK,fall,rise,none,4,3,2,"[{""cell_pattern"":[""SLH*""],""template"":""hold/template__latch__fall__rise__glitch__maxq__1.sp""},{""cell_pattern"":[""SLH*""],""template"":""hold/template__latch__fall__rise__glitch__minq__1.sp""},{""cell_pattern"":[""MB*SLH*""],""template"":""hold/template__latch__fall__rise__glitch__maxq__1.sp""},{""cell_pattern"":[""MB*SLH*""],""template"":""hold/template__SLH__fall__SDN__rise__glitch__minq__1.sp""}]"
hold,CP,fall,rise,none,3,3,3,"[{""cell_pattern"":[""*DET*""],""template"":""hold/template__common__fall__rise__3.sp""},{""cell_pattern"":[""*DFDETQNRESO*"",""*DFDETQNLTSO*""],""template"":""hold/template__DET__fall__SE__rise__pushout__1.sp""},{""cell_pattern"":[""RLH*""],""template"":""hold/template__latch__fall__rise__glitch__maxq__1.sp""}]"
hold,EN,rise,rise,none,3,3,2,"[{""cell_pattern"":[],""template"":""hold/template__basemeg__EN__rise__A__rise__glitch__maxq__1.sp""},{""cell_pattern"":[],""template"":""hold/template__basemeg__EN__rise__B__rise__glitch__maxq__1.sp""},{""cell_pattern"":[""MB*LN*QN*""],""template"":""hold/template__latch__rise__rise__glitch__minq__1.sp""}]"
hold,EN,rise,fall,none,3,3,2,"[{""cell_pattern"":[],""template"":""hold/template__basemeg__EN__rise__A__fall__glitch__minq__1.sp""},{""cell_pattern"":[],""template"":""hold/template__basemeg__EN__rise__B__fall__glitch__minq__1.sp""},{""cell_pattern"":[""MB*LN*QN*""],""template"":""hold/template__latch__rise__fall__glitch__maxq__1.sp""}]"
non_seq_hold,CDN,rise,rise,none,4,3,4,"[{""cell_pattern"":[""LHSCN*""],""template"":""non_seq_hold/template__latch__rise__rise__pushout__1.sp""},{""cell_pattern"":[""L*""],""template"":""non_seq_hold/template__latch__rise__rise__glitch__minq__1.sp""},{""cell_pattern"":[""*CSN*""],""template"":""non_seq_hold/template__flop__rise__rise__pushout__1.sp""},{""cell_pattern"":[],""template"":""non_seq_hold/template__latch__rise__rise__pushout__1.sp""}]"
min_pulse_width,[],null,fall,none,3,3,3,"[{""cell_pattern"":[""*LND2SR*""],""template"":""min_pulse_width/template__LND2SR__fall_rise__1.sp""},{""cell_pattern"":[""CKGMUX3*""],""template"":""min_pulse_width/template__CKGMUX3__fall__rise__1.sp""},{""cell_pattern"":[""CKGMUX*""],""template"":""min_pulse_width/template__S__fall__rise__1.sp""}]"
unknown,[],null,rise,none,2,2,1,"[{""cell_pattern"":[],""template"":""hold/template__ckg__nx__rise__clken__rise__glitch__maxq__1.sp""},{""cell_pattern"":[],""template"":""min_pulse_width/template__sync1p5__CP__rise__fall__1.sp""}]"
unknown,[],null,fall,none,2,2,1,"[{""cell_pattern"":[],""template"":""hold/template__ckg__nx__rise__clken__fall__pushout__1.sp""},{""cell_pattern"":[],""template"":""min_pulse_width/template__sync1p5__CPN__fall__rise__1.sp""}]"
hold,CLKIN,rise,rise,len_3,2,2,1,"[{""cell_pattern"":[""DCCKSDIV2MX*"",""DCCKSDIV2RPMX*"",""DCCKDIV2*"",""DCCKSDIV2*""],""template"":""hold/template__gclk__rise__scanmode__rise__pushout__3.sp""},{""cell_pattern"":[""DCCKSDIV2MX*"",""DCCKSDIV2RPMX*"",""DCCKDIV2*"",""DCCKSDIV2*""],""template"":""hold/template__gclk__rise__clkdivrst__rise__pushout__3.sp""}]"
hold,CLKIN,rise,fall,len_3,2,2,1,"[{""cell_pattern"":[""DCCKSDIV2MX*"",""DCCKSDIV2RPMX*"",""DCCKDIV2*"",""DCCKSDIV2*""],""template"":""hold/template__gclk__rise__scanmode__fall__pushout__3.sp""},{""cell_pattern"":[""DCCKSDIV2MX*"",""DCCKSDIV2RPMX*"",""DCCKDIV2*"",""DCCKSDIV2*""],""template"":""hold/template__gclk__rise__clkdivrst__fall__glitch__maxq__3.sp""}]"
hold,CLKIN,rise,rise,len_2,2,2,2,"[{""cell_pattern"":[""DCCKSDIV2MX*"",""DCCKSDIV2RPMX*"",""DCCKDIV2*"",""DCCKSDIV2*""],""template"":""hold/template__gclk__rise__scanmode__rise__pushout__2.sp""},{""cell_pattern"":[""DCCK*DIV2O4*""],""template"":""hold/template__gclk__rise__clkdivrst__rise__nx__pushout__1.sp""}]"
hold,CLKIN,rise,fall,len_2,2,2,2,"[{""cell_pattern"":[""DCCKSDIV2MX*"",""DCCKSDIV2RPMX*"",""DCCKDIV2*"",""DCCKSDIV2*""],""template"":""hold/template__gclk__rise__scanmode__fall__pushout__2.sp""},{""cell_pattern"":[""DCCK*DIV2O4*""],""template"":""hold/template__gclk__rise__clkdivrst__fall__pushout__maxq__2.sp""}]"
hold,CLK,rise,rise,none,3,2,3,"[{""cell_pattern"":[""CKLNTSRQ*"",""CKLNTRPQ*"",""CKLNTQ*""],""template"":""hold/template__latch__rise__rise__glitch__maxq__1.sp""},{""cell_pattern"":[""ESLH*""],""template"":""hold/template__SLH__rise__SE__rise__pushout__1.sp""},{""cell_pattern"":[""CKLNTSRQ*"",""CKLNTRPQ*""],""template"":""hold/template__latch__rise__rise__glitch__maxq__1.sp""}]"
hold,CLK,rise,fall,none,3,2,3,"[{""cell_pattern"":[""CKLNTSRQ*"",""CKLNTRPQ*"",""CKLNTQ*""],""template"":""hold/template__latch__rise__fall__glitch__minq__1.sp""},{""cell_pattern"":[""ESLH*""],""template"":""hold/template__SLH__rise__SE__fall__pushout__1.sp""},{""cell_pattern"":[""CKLNTSRQ*"",""CKLNTRPQ*""],""template"":""hold/template__latch__rise__fall__glitch__minq__1.sp""}]"
